,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,37.0,93,54,3.0,NZ,1591993398
1,upernavik,72.79,-56.15,32.67,94,0,3.11,GL,1591993408
2,hamilton,39.18,-84.53,84.99,28,40,6.93,US,1591993408
3,tasiilaq,65.61,-37.64,39.2,80,6,14.99,GL,1591993408
4,busselton,-33.65,115.33,48.99,81,68,10.58,AU,1591993408
5,new norfolk,6.65,-10.59,80.6,83,20,3.36,LR,1591993418
6,hilo,19.73,-155.09,80.6,57,90,3.36,US,1591993419
7,esmeraldas,-19.76,-44.31,78.8,41,7,10.29,BR,1591993419
8,talnakh,69.49,88.4,39.2,72,0,13.42,RU,1591993429
9,victoria,22.29,114.16,82.0,83,40,13.18,HK,1591993379
10,yerbogachen,61.28,108.01,42.46,84,66,8.21,RU,1591993439
11,veraval,20.9,70.37,85.95,78,79,6.46,IN,1591993439
12,robertsport,6.75,-11.37,79.43,85,100,9.13,LR,1591993439
13,punta arenas,8.99,125.34,76.78,86,98,5.26,PH,1591993439
14,tuktoyaktuk,69.45,-133.04,53.6,54,75,12.75,CA,1591993440
15,narasannapeta,18.42,84.05,82.27,84,100,4.34,IN,1591993440
16,saryozek,44.36,77.98,56.8,52,0,5.7,KZ,1591993450
17,saint-philippe,-21.36,55.77,71.6,60,75,8.05,RE,1591993460
18,georgetown,5.41,100.34,77.0,94,20,3.36,MY,1591993460
19,payo,-3.75,103.64,72.19,95,96,2.33,ID,1591993460
20,jiblah,13.92,44.15,69.96,57,74,4.76,YE,1591993460
21,barrow,71.29,-156.79,37.4,86,75,8.05,US,1591993201
22,beringovskiy,63.05,179.32,46.74,68,23,3.8,RU,1591993471
23,cape town,-36.41,-71.9,55.4,54,40,2.24,CL,1591993471
24,kodiak,57.79,-152.41,55.4,62,75,5.55,US,1591993471
25,esperance,-33.87,121.9,46.4,93,90,14.99,AU,1591993482
26,cabo san lucas,-8.28,-35.03,80.6,78,40,12.75,BR,1591993482
27,nikolskoye,59.7,30.79,62.6,45,7,6.71,RU,1591993482
28,necochea,-38.55,-58.74,55.99,59,55,5.99,AR,1591993359
29,bredasdorp,-34.53,20.04,53.6,66,58,7.58,ZA,1591993483
30,yumen,40.28,97.2,60.76,29,9,8.72,CN,1591993483
31,ushuaia,-54.8,-68.3,33.8,80,90,29.97,AR,1591993412
32,mvomero,-6.25,38.67,77.0,83,75,5.82,TZ,1591993483
33,tuatapere,-46.13,167.68,37.0,93,61,3.0,NZ,1591993483
34,leh,34.17,77.58,50.36,45,0,5.68,IN,1591993484
35,east london,65.0,-15.0,60.8,51,0,20.8,IS,1591993494
36,yabrud,33.97,36.66,68.0,30,0,9.17,SY,1591993494
37,ban dung,20.02,104.61,74.01,84,83,3.02,LA,1591993494
38,ossora,59.24,163.07,54.61,53,79,8.14,RU,1591993494
39,atuona,-9.8,-139.03,80.92,80,8,23.91,PF,1591993494
40,mezen,65.85,44.24,38.59,95,38,5.26,RU,1591993494
41,bengkulu,-3.8,102.27,75.36,91,100,4.05,ID,1591993504
42,puerto ayora,36.59,-6.23,71.01,68,1,18.34,ES,1591993504
43,hobart,-42.88,147.33,44.01,93,94,5.82,AU,1591993318
44,kuandian,40.73,124.78,57.22,91,0,2.13,CN,1591993505
45,mataura,-46.19,168.86,37.0,93,27,3.0,NZ,1591993505
46,erzin,36.96,36.2,71.01,82,17,6.42,TR,1591993515
47,ilulissat,69.22,-51.1,39.2,69,5,6.93,GL,1591993525
48,lagoa,39.05,-27.98,63.72,84,100,11.18,PT,1591993525
49,port alfred,-7.03,29.76,73.85,57,11,6.73,CD,1591993525
50,mehamn,71.04,27.85,48.2,70,71,19.46,NO,1591993525
51,butaritari,3.07,172.79,82.17,79,68,14.27,KI,1591993526
52,nanakuli,21.39,-158.15,84.2,57,75,17.22,US,1591993536
53,chapais,49.78,-74.85,46.4,61,90,8.05,CA,1591993536
54,rikitea,-23.12,-134.97,75.52,81,10,18.88,PF,1591993517
55,richards bay,46.84,-95.91,69.8,40,1,6.93,US,1591993546
56,pevek,69.7,170.31,43.65,77,52,1.48,RU,1591993546
57,mar del plata,43.4,-4.01,63.0,72,68,3.36,ES,1591993546
58,chuy,-33.7,-53.46,65.01,87,45,3.29,UY,1591993556
59,yellowknife,62.46,-114.35,61.0,59,75,8.05,CA,1591993478
60,moses lake,6.69,-8.48,74.46,93,42,3.65,CI,1591993566
61,eskisehir,39.78,30.52,59.0,76,75,5.82,TR,1591993577
62,avarua,-21.21,-159.78,75.2,64,44,4.7,CK,1591993577
63,lyaskelya,61.77,31.02,53.92,69,21,5.86,RU,1591993577
